Behavior,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Neuron_50,Neuron_51,Neuron_52,Neuron_53
CD1,0.8548674925406166,0.8163014116533399,0.36320150896151915,1.163549279198074,0.5643103990768243,0.5731195517332266,1.0750159401752848,0.19016765758174253,1.2883131810871755,0.6682010655694268,0.8292725620008274,0.5962568864606121,0.40288622815538727,0.11926503552770934,0.1504001269927324,0.6237976964303965,1.3903600946202794,0.5044576062511853,0.01630839908509545,2.479880064159544,0.40482263049214756,0.25349351365875283,0.22545406017417008,0.346886805344386,0.012493581854741816,0.9551821032788412,0.2270414000826921,1.3518730192297101,0.44141596083416795,0.7918883410160741,0.1310563788355999,0.01678126383374589,0.7697198749995668,1.119822700310956,0.5802607240639301,0.7748831666248894,0.33309659110627765,0.6024514244611034,0.42760800076681316,0.04930948508294153,1.226410961174544,0.023603814619843264,2.6004524723688567,0.6854538715901143,2.015875455572944,0.9062381442559878,0.6430476757529753,0.5139391946003219,0.525373935390566,0.0929484219230618,0.14112874231702552,0.23707391488518367,0.7862244978752415
Clim,0.8449286543015921,0.7087683392510662,0.05843494910802278,0.6364139484959586,0.24356044544819028,0.19474844702121216,0.8675431447675558,0.02980695301941463,1.1298196316999087,0.4124231716318996,0.5668889454571818,0.5170662722300948,0.14585623477921916,0.18813700942310194,0.7244740256440332,0.38851388207166154,0.2114065429736359,0.6791586598513933,0.5040692232233764,0.9827726459268346,0.41297123730001745,0.9367597427229759,1.19401713128234,0.46692584108904844,0.05663006940522683,0.11082017735449944,1.1028701562443821,0.475842365280838,1.0765298961613001,0.2874181253580796,0.3136678127455559,0.5197554099832732,0.22670359090404169,0.24780605794661234,0.4513862528072781,0.3185894889891587,0.045834072578348546,0.08975083244915957,0.5859752320395055,1.0737567386982532,0.13543548447065643,0.02109034150034941,0.3724051532274853,0.3430319145996838,0.04867039588488024,0.3171635077525145,0.5766256919206881,0.19440663206241163,0.4468585609231639,0.24925150237913934,0.15497804892739053,0.03073981110284636,0.09526928435899279
Exp,0.622793798561441,0.332350245954626,0.2629733261611584,0.5891774721723555,0.2440432292020936,0.13018673254571964,0.27980828974589433,0.04760510276902752,0.48002279304646966,0.19968353095097505,0.05020925770875714,0.052810878846583746,0.11724344795770583,0.18229633191951347,0.278011475717928,0.24569584570800176,0.3759684478206325,0.4218055635782965,0.4607717556471511,0.5757848973870757,0.4680048835130308,0.12086549924345531,0.8054908912932994,0.32849869223055733,0.09447293641293114,0.03445597306902615,0.44194288906057666,0.23743958521003597,0.5666279980059826,0.10651737500561906,0.1349112723891619,0.4029485322816286,0.07004552320033663,0.0946154282036717,0.08368700947376788,0.2488091294453261,0.17816982834626555,0.34334238383605653,0.402671879773269,0.29221298137268054,0.24553473421289623,0.124524101531429,0.5338655933625892,0.21868894514329856,0.17190722443360043,0.06198272032425767,0.24220730030811824,0.22307505738750902,0.046355788522198516,0.13109180885545596,0.6038336128326864,0.2712623691411631,0.25783173771924306
Gro,0.13703304692314006,0.8491294846083857,1.1279792273279612,0.16003216615440166,0.6123660072433439,0.7477748392912122,0.6509221323864044,0.7111869108480067,0.801846259218662,0.07573344995398759,0.05103423677737334,0.28261971224633436,0.6190646994861363,0.9136802933524658,1.1253023949914172,0.47802756208286296,0.009242971915525014,0.346274275899293,0.7844611280791678,0.8347009714599258,0.6006581508230802,1.2013386645623243,0.2974025508616548,0.47985315744455664,0.5655533020419969,0.6605043315561472,0.43921873440741854,0.5329573217917332,0.35330863699992987,0.07837388895790422,0.2697775593358537,0.5253521474066819,0.214402724328624,0.496837579062244,0.8460237756577854,0.449871583223166,0.30605462911788767,0.8516268896162895,0.41079038161937304,1.037396252945347,0.4981340298414288,0.0005370101204172522,0.2424143457590517,0.74367515966386,0.16762600198617772,0.06304263853219616,0.4083682038871965,0.3552779348873953,1.430689538716253,0.5748693813164649,1.016055876463299,0.8402374526421257,0.7855738174822083
Scra,0.8995798637659542,1.546562034599457,2.2445478420074454,0.46830731395233044,2.8318103394294405,2.489912978276261,2.0624159038479477,3.996386950021353,1.47564642058213,0.5523947903129142,0.5257415833597117,2.4310226054569393,1.1020421852185331,2.454383714978583,3.567380055949507,2.748809902390747,2.2561642668983475,2.809539772461144,0.4797912783734673,2.821442784750927,0.46643246556284523,2.654576480876767,2.1976937958775484,3.6758024373779614,5.579190395702769,2.9245504216444362,2.067019209782321,2.000305168306563,0.9746774056069359,0.4772927300400998,1.3563551551213748,1.9897233794249198,0.7960220233810358,3.1472745356046135,3.6396575798830764,2.9041148645106256,1.2828216783577333,2.0876015680019333,0.09807065989397715,2.6888527355034935,1.8916226380124606,1.6176725551232716,2.525502139105908,4.679392434077242,0.6613343071038866,0.3936558783826605,1.6323389471658103,0.3987622255455557,2.280447738089217,1.1152491576046766,1.1141524988586569,3.147671755941476,2.5363188843303273
Sta,0.5214180707988817,0.6795644167123043,0.30668318792356186,0.7959171640754347,0.03191556664729119,0.5756766677026779,0.4673765585219068,0.23089701019423634,0.008302687738596692,0.14799817296410964,0.8088284184524211,0.6229124519035767,0.12049109521823512,0.5699092614362204,0.4902829740456312,0.6543921798368797,0.8504566121476476,0.43707265879055857,0.19640745892254097,0.3772293993313672,0.194195037498126,0.14864707780530723,0.2361776307924881,0.49133446097234984,0.4484107927370189,0.20378835343303695,0.3662879241219614,0.8283362899883978,0.17954137933068587,0.35505658189585554,0.5558030615261935,0.9301557699155388,0.4064993395054072,0.29249087959917325,0.09111870480935527,0.06295618301541928,0.8886262996271471,0.20580181166864045,0.05280926756435812,0.19882996158827726,0.9564613056281187,0.32875000017318523,0.9552438933800205,0.23717825235462173,0.023118375910990332,0.5043362057942428,0.14780935745349094,0.9109719847212697,0.38757321416392804,0.5110411040562771,1.0801672693903084,0.044282909164778325,0.18187983949171954
Stiff,0.7530341280154628,1.5776068620975658,1.9109505130301996,0.7663788486881623,0.0686474530653062,1.1974251155010627,1.7510534196528313,0.5350291162062155,1.7086814311342184,0.761249535495372,2.058620255603106,0.5094733776104301,0.888376296906835,0.9889498944424863,1.0091725378835261,1.4195420842208732,0.9717363970210721,2.5384810085994185,1.6192558567647866,1.607986919225831,0.10655610845172846,1.4456506989160907,0.4230959759999556,0.1585714081656655,0.7908678692546488,0.6635165348550406,0.3391878853753758,2.037006919148551,1.5443476403762224,0.9150673801914914,0.9841824950652135,1.6776960914160812,1.3255055990558204,0.25782775951621995,1.525661613810078,0.17770420579995358,1.7000190808277684,1.7014396619397065,1.096040936554294,1.9087942934239075,1.6082403292643466,0.858690237566007,0.060765783061727016,0.6946369964890787,3.2684777574226875,1.189642457863189,1.8753860458049876,1.044727458091213,0.8906050571824387,1.027776361509943,0.2535054357385135,2.014972698813141,2.6703144395016523
