number,relative_x,relative_y
1.000000000000000000e+00,1.730814494355272515e-01,1.024467519102828517e-01
4.000000000000000000e+00,1.400823198059991670e-01,1.771921503966885358e-01
5.000000000000000000e+00,5.128502656210385258e-01,2.893102481262969650e-01
6.000000000000000000e+00,1.510820296825086395e-01,3.293524258868714139e-01
7.000000000000000000e+00,2.879673081457361228e-01,3.547124718019020184e-01
8.000000000000000000e+00,7.682879727533112879e-01,3.720640821648176222e-01
9.000000000000000000e+00,7.035119034805338289e-01,4.121062599253921266e-01
1.100000000000000000e+01,3.160776778301488954e-01,5.549233606047743184e-01
1.200000000000000000e+01,5.874038547840463309e-01,5.842876242958622290e-01
1.300000000000000000e+01,9.247282909969999354e-01,5.629317961568892636e-01
1.400000000000000000e+01,4.370744864717517886e-01,7.351131605273595326e-01
1.500000000000000000e+01,4.712958060875587218e-01,9.606840952452622151e-01
1.600000000000000000e+01,5.751819549212582316e-01,3.173397725586991069e-01
1.700000000000000000e+01,6.912900036177458407e-01,2.052216748290907056e-01
1.800000000000000000e+01,5.617378650721912559e-01,6.924015042494133798e-01
2.000000000000000000e+01,1.486376497099509142e-01,5.909613205892914056e-01
2.100000000000000000e+01,2.134137189827282066e-01,3.774030391995608080e-01
2.200000000000000000e+01,7.181781833158799033e-01,1.157941444971410105e-01
2.300000000000000000e+01,9.076176311890965520e-01,3.774030391995608080e-01
2.400000000000000000e+01,7.462885530002926204e-01,5.242243576550005280e-01
2.500000000000000000e+01,5.250721654838265140e-01,3.800725177169325120e-01
2.600000000000000000e+01,6.399580241940354686e-01,1.651794970685162289e-01
2.700000000000000000e+01,8.159533822181852525e-01,1.411541904121714763e-01
2.800000000000000000e+01,5.446272052642877615e-01,1.731879326206310910e-01
2.900000000000000000e+01,1.510820296825086395e-01,5.308980539484295935e-01
3.000000000000000000e+01,6.399580241940354686e-01,3.200092510760706999e-01
3.100000000000000000e+01,6.155142244684590480e-01,2.439291133309793302e-01
3.200000000000000000e+01,3.258551977203795191e-01,4.641610910141388824e-01
3.300000000000000000e+01,5.238499754975478595e-01,6.430161516780381614e-01
3.400000000000000000e+01,4.957396058131350314e-01,5.789486672611190432e-01
3.500000000000000000e+01,4.517407663070976409e-01,5.042032687747133313e-01
3.600000000000000000e+01,4.334079165129153255e-01,2.399248955549218854e-01
3.700000000000000000e+01,8.037314823553969312e-01,8.509514154736726177e-02
3.800000000000000000e+01,4.761845660326740060e-01,1.358152333774281795e-01
3.900000000000000000e+01,3.405214775557252604e-01,2.265775029680637265e-01
4.000000000000000000e+01,5.800707148663734047e-01,8.352186049287956271e-01
4.100000000000000000e+01,6.876234336589094331e-01,7.471258138555318951e-01
4.200000000000000000e+01,7.377332230963408177e-01,6.657067190756970065e-01
4.300000000000000000e+01,8.049536723416756967e-01,5.949655383653488228e-01
4.400000000000000000e+01,6.020701346193920722e-01,3.920851710451048189e-01
4.500000000000000000e+01,8.379528019712039200e-01,3.226787295934424038e-01
4.600000000000000000e+01,8.562856517653860688e-01,2.479333311070367474e-01
4.700000000000000000e+01,3.564099473773498783e-01,1.291415370839991694e-01
4.800000000000000000e+01,4.285191565678000414e-01,7.938416879095353540e-01
4.900000000000000000e+01,1.523042196687873495e-01,4.321273488056792678e-01
5.000000000000000000e+01,6.265139343449683818e-01,6.240457414970837502e-02
5.100000000000000000e+01,2.904116881182937093e-01,6.136518879869502507e-01
5.200000000000000000e+01,5.226277855112690940e-01,6.907827044313738507e-02
5.300000000000000000e+01,4.370744864717517886e-01,3.960893888211622360e-01
5.400000000000000000e+01,3.405214775557252604e-01,6.590330227822679410e-01
5.500000000000000000e+01,5.947369947017191461e-01,6.443508909367240411e-01
5.600000000000000000e+01,2.427462786534198558e-01,7.337784212686735419e-01
5.700000000000000000e+01,8.630596040973133320e-02,2.826365518328679549e-01
5.800000000000000000e+01,2.757454082829479680e-01,8.285449086353665615e-01
5.900000000000000000e+01,4.964026082136680645e-02,5.589275783808318465e-01
