Behavior,Neuron_45,Neuron_18,Neuron_11,Neuron_32,Neuron_13,Neuron_39,Neuron_22,Neuron_43,Neuron_46,Neuron_17,Neuron_27,Neuron_20,Neuron_44,Neuron_31,Neuron_1,Neuron_19,Neuron_16,Neuron_36,Neuron_49,Neuron_41,Neuron_12,Neuron_28,Neuron_8,Neuron_7,Neuron_14,Neuron_34,Neuron_40,Neuron_42,Neuron_15,Neuron_9,Neuron_23,Neuron_33,Neuron_24,Neuron_48,Neuron_29,Neuron_30,Neuron_2,Neuron_50,Neuron_38,Neuron_10,Neuron_47,Neuron_37,Neuron_26,Neuron_25,Neuron_3,Neuron_5,Neuron_4,Neuron_21,Neuron_35,Neuron_6
Close-arm,1.168777016348216,1.112318037828301,0.9656461085853679,0.9014703022073378,0.7725617184085144,0.7110880535923696,0.5812675216758539,0.5615936648671168,0.5454126862434064,0.5312061650114652,0.5270587652881285,0.5187761207324113,0.46409558363936776,0.4565931189239907,0.4499402380044503,0.417997825422193,0.4170289298346398,0.38402883961262013,0.3514868461645948,0.33662476260631913,0.3178849783104691,0.28184318172571593,0.27364544765023563,0.26993614389236614,0.24805666573893742,0.2403714197595034,0.21383143243860875,0.2096458802204628,0.19156257743997773,0.18708732346029655,0.181373876156263,0.1812797273296939,0.160300596874408,0.1524613233209419,0.15062744207005377,0.12288288525224467,0.1188751833028747,0.10913669594466056,0.10907368371199504,0.07631551897590841,0.07434650343043135,0.06568577819988268,0.054285185953882965,0.044843400269505056,0.03689387587933638,0.03150038427296621,0.03048248958165811,0.02878494184449875,0.009208963971632927,0.0017400311327831581
Close-arm  ,1.481207355805953,0.8889748143351882,1.3243379427235575,1.8907276668863526,0.7143631744569138,0.6736326903898641,0.7312822939100602,0.5156862569289047,1.1018853464069813,1.1643331012398959,0.867932936328508,0.15868160168889955,0.5092210137105104,1.0995502443036764,0.3427155563033705,0.42072670616867075,0.21356139446646683,0.36625525096328115,0.5756262544322867,0.4872938370369904,0.9061486710242272,1.2762477000082055,0.7024303703585,0.6403796944429848,0.2882731303059909,0.366270303749163,0.07663549835186016,0.5766404197954462,0.15891082953315042,0.10200002957422258,0.30529122919302976,0.19284071859352783,0.21924989875653944,0.37353067640377596,0.3480741333036744,0.35211889411293895,0.5439917033674189,0.4749144930993314,0.021706142108322144,0.4515811446044721,0.24434936523354706,0.17770403013244038,0.0035057232977057733,0.03921522509533991,0.007348881469638029,0.2892176064519613,0.11754162900176421,0.33850139879792096,0.008292759250128186,0.20695208725796063
Close-arm-stiff,0.21636030413062637,0.4641060548748535,0.7133597077645808,0.09927598701000734,0.08600381953933926,0.06325486181070791,0.5558410797413268,0.1355726480433739,0.2900587019074402,0.47990793359893175,0.7149242880282891,0.3603883888695789,0.3439634921803348,0.1409416020734601,0.35420418557269606,0.8148790102539537,0.880950537588735,0.7807898053815278,0.040710780035186335,0.30538354826629205,1.5104054070623347,0.018094560759996364,0.836088169757336,0.39356352666438027,0.4755862712905902,0.12272161503015497,0.307602526624808,0.11143747681896109,0.17707875658382424,0.6670031271840343,1.39118939164451,0.7970443373953049,0.38405384213651117,1.27594069735553,0.13939361374636705,0.15249564624612505,0.3891206524188153,0.27190270534627853,0.7345963059464022,0.8809905981124379,0.02631325644802779,0.9019565345784792,1.1704594990824608,0.4933179829563828,0.2158873151873779,1.4143144107437848,0.9238135577027594,0.8070982230820919,0.6357032360730231,1.3247115600068746
Middle,0.2128941195264909,0.2103702024985539,0.0265777293461482,0.13188545904064727,0.9480841663550804,0.2932349805554,0.8590621625487306,0.3475288449501275,0.09176581776425442,0.3179128819694809,0.25767112582651697,0.22755624059222745,0.4742874803653869,0.433376755803745,0.18684661118279974,0.002123920854215571,0.09226388449606893,0.3234523927519356,0.3360047240546207,0.03364177239483221,0.17638802467143058,0.4046345269904154,0.07705764418946859,0.5434221905821849,0.450276240650103,0.20552394552235836,0.023409106661621864,0.40280149620368255,0.11342055389577912,0.048297480758228074,0.1777013131523238,0.18489837745638532,0.2817262395211707,0.24282607328024125,0.015752900480070296,0.0023166424520177616,0.1868468332541614,0.2897369603797631,0.14023869525285898,0.6915203594917043,0.12488350001718983,0.5515295628166055,0.5366030370474533,0.19801849695012266,0.15578200596291378,0.4349012341119266,0.4463024735992266,0.3715934018649639,0.4479151442707235,0.7538794394414841
Middle-to-Open-arm,0.8017403596543129,0.7054060820179295,1.5799912434963184,0.43720269857747834,1.8664410633572561,0.9642126812670073,1.297589950340736,0.228990769342883,0.011976559140274207,0.4938189113532829,1.0173285331545103,0.8029823342218645,0.4438935606995151,0.14636373881587306,0.1249109854185618,0.27234258259037086,2.3082183797609988,1.0741560535696613,0.7830993384528621,0.41796056060098385,0.8499746582221157,0.12111550273295901,0.4761236426962983,2.7656663466450135,0.19686760197262443,1.045683318535487,0.6352070800438748,0.4031366407969322,0.5432023795491879,0.1641537742754249,0.7081727363458414,0.3952720561220638,0.500670921030282,0.8019760317308646,0.5046481375817525,0.5012157591273797,0.5035397266778237,0.34386886551593976,0.3401957630830724,0.45027113732260693,0.01862882060238949,0.907080318808315,0.8697893563479425,0.5740914184763316,0.5894775096146685,0.8772042249993124,0.09215583454959694,3.03338158593359,1.1492585981451728,1.3620611813786332
Open-arm,1.145673045944914,0.8213620747742247,0.8328823569302837,0.21660819062365969,0.40443927178531586,0.8270455135167217,0.863197168275481,0.6321402376725179,0.18420088599088208,0.4320660995025355,0.27355801379232,0.9029025267999854,0.7718181924498984,0.2767632547920902,1.0747088406195797,0.3299703128126125,0.002681800911406387,0.3489748910003106,0.0547178375005506,1.3569691781366677,0.7652835006598152,0.7612467890107205,0.1797759065204057,0.4353258487658236,0.45537754903324273,1.0195572864155893,0.4024460952990008,0.16065684013766565,0.002216055037173385,0.09606329321396266,0.9385593245956689,0.055606753312863806,0.13151132721101827,1.2811527132824574,0.23595714498798356,0.11717639655676726,0.836759728377507,0.36270193970306774,0.4994345422482654,0.37771717718834985,0.4158973405026489,0.16718772561078346,0.9575838223516587,0.43965449112423527,0.2930750244139103,0.8948529828403086,0.31643665192046594,0.5623440442880043,0.028279957496959197,0.49665094181234826
Open-arm-Lean-out,1.4189291965735567,1.0467701643080654,1.0303771323317623,0.6704828251921974,0.2739867678688828,1.5898977485775683,0.6442767569076596,0.6674411933887597,0.14868357526741935,0.4482901896407576,0.22232923593748363,1.9558014923384275,0.9742930713387036,0.627258898447251,0.9587754413892104,0.7402317267977884,0.3844045809696797,0.683746746963714,0.2099549437425845,2.316880299163632,1.1650114874686104,1.0260031967372305,0.011904223209630088,0.6825266356629031,0.41403276434137704,1.659551101923214,0.5469487706320526,0.16730805255677508,0.014033465880495177,0.5014755897489297,1.2193035544337771,0.7381156888529329,0.05584399750457099,2.5588694789037434,0.2894883222309039,0.3878064039519944,1.072213197009742,0.8093343026844692,0.8368021083259919,0.1781264397515341,0.7926666722230421,0.12079372595613141,0.8249416849479428,0.5197735505843039,0.08250931874883062,1.1771423532090999,0.5950817725380961,0.6282460661184008,0.0831429843979535,0.38552807727069305
Open-arm-stiff,2.3038912604802677,4.387326689564036,1.3557878408062747,1.41659272296186,0.7712745893734451,1.086266000743165,0.6140754517292216,0.5988736691974803,0.8284245912347632,0.7707608874167301,0.6027205100310251,0.49188001550784677,0.6118904214792905,1.1775037247034883,0.6872176978325344,0.1698895548433649,0.3201546693835811,1.0547747306569741,0.03222535116419463,1.1766961064041879,1.188856031232123,0.46533851887903227,1.9395103237814673,0.5115522395040348,0.47488578860605046,1.2773935797228433,0.6167242023076679,0.1748858368102085,0.70146684700001,0.2798873071927846,1.175549486148395,0.778846476675501,0.9824491302909126,2.232367938948642,0.16097246119624992,0.3163283660765224,1.10658787558877,1.953267684259338,0.5918218793330939,0.2251088925659453,0.2581187931824931,0.18387806873367987,0.34497486050962684,0.7238858685013176,0.1585560777120347,0.24224360413907664,0.6915938019498628,0.7778417610472708,0.3929249403094237,0.3320833602187913
