Behavior,Neuron_30,Neuron_43,Neuron_59,Neuron_16,Neuron_4,Neuron_34,Neuron_40,Neuron_46,Neuron_54,Neuron_44,Neuron_8,Neuron_3,Neuron_5,Neuron_21,Neuron_49,Neuron_14,Neuron_36,Neuron_45,Neuron_12,Neuron_27,Neuron_60,Neuron_18,Neuron_47,Neuron_51,Neuron_42,Neuron_19,Neuron_23,Neuron_52,Neuron_37,Neuron_17,Neuron_13,Neuron_11,Neuron_29,Neuron_9,Neuron_6,Neuron_35,Neuron_31,Neuron_57,Neuron_7,Neuron_22,Neuron_55,Neuron_28,Neuron_25,Neuron_58,Neuron_2,Neuron_10,Neuron_1,Neuron_41,Neuron_48,Neuron_20,Neuron_32,Neuron_56,Neuron_53,Neuron_15,Neuron_39,Neuron_50,Neuron_33,Neuron_26,Neuron_38,Neuron_24
Exp,1.3891442019274673,1.2137261820357899,0.9384799331103943,0.9122382057863411,0.8774931201800467,0.877302226191577,0.8488354078100007,0.80355038642134,0.7869277250234195,0.7755687084464657,0.7373800889310478,0.7227057204192247,0.6446229608848716,0.644416806031738,0.5936705689424526,0.5751625344861941,0.5661580358075786,0.536458942281106,0.5231821514678535,0.46627870269449356,0.4501819736719702,0.43592444421323623,0.4251044127034175,0.41075882153314386,0.4052758010760536,0.3955218582599129,0.39216107960150937,0.387431098554596,0.38620358059957904,0.378455706416969,0.36789828018570847,0.347881616915748,0.33958805015838833,0.3275670400278134,0.31796236669299816,0.2960993172104202,0.29302857206802885,0.28647201089156177,0.2714708628616975,0.2656762139728722,0.2627921720285328,0.24000844471215732,0.2276346683202424,0.22730943670578582,0.2197164690659404,0.2161274857872275,0.20963111894025827,0.17885733753817523,0.17313413002651587,0.17236210659682563,0.164281801534576,0.16094957677584518,0.1600408370635538,0.15854163611838948,0.14813960403404058,0.14180746414804093,0.1017391298938472,0.08774376453669344,0.06252611236209292,0.04872876456697939
Exp-CD1,1.1665398984354864,0.6915907896099851,0.8633758892104225,1.0823085020397027,0.6845650251848311,0.8181080413637553,0.6294973659999601,0.7382651411481189,0.9698941451975999,0.5584086690031732,1.1450381774428589,0.4113958749390334,0.5740231990159785,1.5052776978087203,0.6678806376242624,0.6884710959615499,0.7984259821469583,0.16696591995403892,0.4444900543275286,0.17184938324114837,0.9171241647860044,0.2676195985660399,0.3191916917552577,0.5080961832493051,0.2925900562911692,0.2695338322369152,0.6435029782366513,0.4340204290631948,0.519019112446277,0.6141076035661212,0.022541509432920694,0.34903798201328307,0.4928681542848777,0.08330196522230647,0.5638285203578803,0.05710675384584935,0.5348987097655105,0.7260107795355456,0.5803560596296345,0.16344487719198927,0.058972355028759,0.02559761482117601,0.16658531569352367,0.38691571160501514,0.4719315233388227,0.10366021351317542,0.07993378698805159,0.3178677564821557,0.43810494159180385,0.31027887949928373,0.7188018163529405,0.5164129025927197,0.2635732683434275,0.14859912196831643,0.14345472967416217,0.6953112292597905,0.1820158499054375,0.13364029502609048,0.31782247169428957,0.21131716177449578
Gro,0.7724466189202239,0.42464088213852996,0.3408328984707109,0.48688335329681637,0.6533909769708831,0.8756245173756466,0.20291678486334233,0.5062140436685617,0.7643018400201941,0.2705105204480266,1.1908747644657505,0.22251133817894622,0.3835077614435801,1.9611554966134597,0.6353393311960428,0.082458471376107,1.0242664750642054,0.008018618684904858,0.1945744542765707,0.46307503394821875,1.102889422980895,0.0954030441453678,0.16369322975588996,0.36245148367796404,0.2006131751572835,0.3008882639265365,0.886859127272889,0.23293052315542684,0.13939267853276455,0.8481170962078601,1.0189318520976862,0.2632095652334945,0.6548661806623483,0.26871823759013796,1.1346835814863365,0.8134592120171463,0.6882285461894598,2.0810077142483077,1.2760318492310074,0.0005959756870554842,0.10783201374691423,0.3363169235205868,0.2533361529087971,0.36344359971363527,0.8256896575900792,0.14693335772255814,0.7554297015690062,0.7666552315592043,0.47760000811127656,0.6766180567694746,1.0070524994941739,0.8643574698320082,0.22178832163984127,0.20491572488438942,0.24917162684749133,1.2861625478273018,0.17577050896699,0.1973465796164004,0.08529089416255507,0.8052047889539033
Gro-CD1,0.558020617804245,1.303979004667198,0.25477164244739364,0.22970500969231772,0.2956285835037162,0.4058111312823295,0.7035084088743613,0.8755517771437523,0.511498337739345,0.5622669602150506,0.6923424479246577,1.0915473436677459,0.4375293227782916,0.789789638188881,0.28630066112928493,0.5863085156199065,0.026945703174674686,1.8364287678505722,0.5258161599523647,0.8863549994534053,0.1430048663635689,0.14470757773971654,0.6997112169172288,0.7057744298151096,0.5334745767593413,0.2646429296038308,0.1571842965019002,0.6028937414991689,1.0246587057728942,0.32246746498162454,0.731949310893815,0.5154140548850935,0.2854823049573913,0.6744563006756761,0.3137938433069327,0.11309475639759983,0.17732467249679332,0.08771221372719752,0.7072319941661933,0.4005639745274231,0.5749790710560582,0.8002939694892641,0.32671955293665167,0.3360312363298083,0.16584324809212703,0.5628905651617286,0.2012381075070925,0.5220150238435949,0.812709658654731,1.0341707732423555,1.4556724412661795,0.8801363780278353,0.25290315670467534,0.06817770373299128,0.26789209101438427,0.6803542479032659,0.11993569303514753,0.27091547085632495,2.095722437815059,0.37075349386748074
Scra-CD1,3.7424497454771526,0.9802792656239118,0.28364230068869656,0.318686617127436,3.34354630970323,1.6305491694434717,1.2204204300541475,0.2514984635552571,0.21626757073852954,1.115933241701253,0.8934804552732382,0.23223387433262038,2.5921653272067458,0.482447440019516,0.7181113152854764,1.1676253094538258,0.3138602894028724,0.40702475204260985,0.9556736764580536,0.24953168064808082,0.8455405699615256,0.23050965710336505,0.02121347377695135,0.18785801332138358,0.1655812265803473,1.0279354036939767,0.13877796934033906,0.565946064089709,1.316533969536231,0.957798449129252,0.5076049048574462,1.0087586653715495,0.6119215501055658,1.944668638334687,0.4943872784929048,1.461480959199491,0.7095389364791377,0.398891034076929,0.9204411794200514,0.42193668005844875,0.5697387765004069,0.12359577734475645,2.0665267865612305,0.8316859132355707,1.4035682363449686,0.27632770546993435,0.5214656789163129,0.07837786569010866,0.910301717588967,0.4712640428890889,0.5502164568783222,0.787462792613652,0.5537263153501337,0.3781224499775309,0.39816387679046494,0.7112205860765409,0.08993353975275428,0.3104900376850279,0.5466031107118754,2.685807174943219
Sta-CD1,0.68250648450543,1.015910974808543,0.03722101533765875,1.2499567409819716,0.5453672090471404,0.767811162252533,0.7389213078860332,0.921618485788303,0.7813857657406841,1.046198136488326,1.0511966044312904,0.17450786617018949,0.20482519007507707,0.4704595561404796,0.6796225554775109,0.22599116379605216,0.44631021692591094,0.09412437809320208,0.7302799960600989,0.18561930322423845,0.8745814987610064,1.2447717103657843,0.7717633305393203,0.029914330687320485,0.01341919409747127,1.054003832820136,0.5092065082647182,0.2884446218131676,0.6258975726040633,0.6564083768885639,0.8407618580183222,0.8158161950108843,1.201179894923945,1.8621563189578163,0.07275083575369308,1.1488960672525952,0.8279048990916066,0.3597956077286831,0.9828618087162894,0.5045027301581356,0.9017278723583244,0.18514985529442565,0.8027022692241775,0.15532649802470347,0.762512424059672,1.1730608133599745,1.2650624026582182,0.6028557777682888,0.047617998813232504,0.7823367757242744,0.5293014718180884,0.9747128662841359,1.2116273390053482,0.33815547884680314,0.6265471325533668,0.08116498293201728,0.22780656135771712,0.6211302180226596,0.48074989295833664,0.18841344360427248
Trem,1.4826897024426737,0.8025368964895964,1.0490221582417174,1.3746812496507463,0.7966922457174179,0.9457632441004646,0.7021781997193829,1.0406924139460503,0.7235112974164235,0.889015470782851,0.8015068617619694,0.9762550753770024,1.0350155076718566,0.8819425431508332,0.4705504415457335,2.0892030291951276,0.17484296172073302,0.9392447225414654,0.5449898925715806,0.5801705078854302,1.631803610140311,0.5082735998942366,0.4738206239301264,0.23094783863616108,0.295862840723731,0.10746392995489035,0.05465409785896543,0.26850744230881396,0.2506713616052659,0.5000223483613447,0.20463254307868772,0.60581848634044,0.5536669648805016,0.8105704654582196,0.6959774654534061,0.7181749358172723,0.49848799808220323,0.463903779876624,0.14845903440900682,0.7639648082666256,0.5032219490052258,0.02659984704391099,0.6303959733004618,0.5821202077881149,0.007742953636925437,0.3006552742812417,0.4492388402077995,0.5819868055712382,0.0580375129055038,0.1425379319691975,0.04900598416411084,0.6361885074497733,1.0985505701977174,0.45211441272938335,0.9840509150248522,0.2913138938991128,1.228296204349838,0.06127507965576855,0.059099394017474445,0.35049954856255755
