Behavior,Neuron_31,Neuron_43,Neuron_9,Neuron_19,Neuron_3,Neuron_52,Neuron_7,Neuron_44,Neuron_57,Neuron_42,Neuron_36,Neuron_41,Neuron_13,Neuron_56,Neuron_58,Neuron_1,Neuron_17,Neuron_46,Neuron_27,Neuron_23,Neuron_55,Neuron_11,Neuron_18,Neuron_6,Neuron_25,Neuron_21,Neuron_49,Neuron_35,Neuron_4,Neuron_12,Neuron_32,Neuron_51,Neuron_20,Neuron_53,Neuron_47,Neuron_30,Neuron_48,Neuron_37,Neuron_29,Neuron_38,Neuron_5,Neuron_14,Neuron_24,Neuron_16,Neuron_40,Neuron_54,Neuron_28,Neuron_34,Neuron_33,Neuron_22,Neuron_45,Neuron_26,Neuron_15,Neuron_2,Neuron_50,Neuron_39,Neuron_10,Neuron_8
Stiff,2.1804828511105803,2.086225303190222,2.01319577433351,1.9769601797579155,1.7083797943279413,1.550481515566157,1.3513866073988783,1.327938920854371,1.2445963342529742,1.2288599931059545,1.210282325291905,1.1782872775062345,1.058572277675615,1.033558392786306,0.9972236996350506,0.9945922082440549,0.9458940021160004,0.8771869560216256,0.8694344449136537,0.8167176477729315,0.7451401100799111,0.7421282876835169,0.7295303203537753,0.723653642701562,0.7126580801764486,0.7053056236517716,0.6646453867792099,0.6274206824396861,0.6108367649698824,0.5955908957661898,0.5784458924644392,0.5615062936341116,0.5594951986640717,0.5194028468074281,0.5105615595678701,0.5103596131597544,0.5047488435778156,0.5047487907553277,0.4407074874254,0.43997113392452736,0.4005662226211637,0.39684673429784123,0.3922788949956573,0.38161698512389264,0.317953466665009,0.3028313720918978,0.29050834543456283,0.2572209632735315,0.2319849245585794,0.16923324415474625,0.15661956401052934,0.14037486441601427,0.12692200885095137,0.12368852525729257,0.12002547060444796,0.03503560990535992,0.022892401571036575,0.005621232557730208
Stiff-CD1,2.2812028381175264,2.2203385513380676,1.9640153136209184,1.9092552711937254,1.8818378199340489,1.5932914303127197,1.4049007532109818,1.371470775226473,1.2825705526278421,1.2950190484411201,1.2198847269610902,1.1915994719676473,1.2130740093675112,1.1198669716613971,1.053179219656954,1.0406637172614486,1.020787918231837,0.9564895289974886,0.8927892580045039,0.8295379685161397,0.764081975988762,0.7968591114670581,0.7103644612776333,0.7635745845479102,0.7325448833011662,0.6431444774910586,0.7320736539746255,0.6396505240413861,0.6947244902910086,0.6058970235473325,0.6107451084883839,0.5972091662563352,0.5948728449766177,0.6026492235960638,0.5069707358330674,0.5503232864602964,0.5379631494076562,0.5009925504300846,0.48350030076907213,0.4736725923128384,0.46955830191249265,0.3744981448433364,0.3531618280829921,0.5083461310992022,0.2818755540230403,0.2787068225271286,0.3948071867971452,0.23965920493192855,0.24483470329648357,0.15279286920896945,0.1897563985314999,0.1875059279991181,0.10928346505788729,0.10176232928646795,0.16880084252008254,0.05333419499452024,0.02584286021420166,0.021869815107894944
Turn,0.7463660853492451,1.0628676144384301,0.2557591390424339,0.767067016614219,2.097288161652115,0.7770329224585396,1.0257396395143783,0.8765545546259067,0.9168873670434448,1.1831481705312104,0.4149429123901448,0.12148922170081561,2.623247393862669,1.5109686229375754,1.102367317257009,0.7601798079193259,1.465499955243931,1.4674410424119264,0.38786021947902233,0.3698315499926085,0.6106715197284749,1.1815274006852619,0.4518522495133721,0.8515681276053718,0.5048863595350104,1.3139030888208483,1.5233891873008418,0.4063870689551569,1.3129402748638117,0.36320796715269593,0.8840479857708328,0.951525272125709,0.6888714292878297,1.9305312839619593,0.05779384303227671,0.8499925578155333,0.47192099150240635,0.12763924012291866,0.9713528856868381,0.8412065621997977,1.5432012881617396,0.5258958014618412,0.9503776633933514,3.1409312160458986,0.9307304313753517,0.5882456666864353,2.4186478377809317,0.37339620673724094,0.3453199393507322,0.41123739416423977,0.8033105037017475,1.2027243681328237,0.43783637241166384,0.5466788572892982,1.1227855916071774,0.4560664429407056,0.07795937087971631,0.6948717865098034
