Behavior,Neuron_22,Neuron_41,Neuron_34,Neuron_20,Neuron_48,Neuron_26,Neuron_45,Neuron_18,Neuron_5,Neuron_13,Neuron_23,Neuron_44,Neuron_1,Neuron_39,Neuron_28,Neuron_6,Neuron_2,Neuron_43,Neuron_10,Neuron_14,Neuron_12,Neuron_38,Neuron_25,Neuron_11,Neuron_17,Neuron_4,Neuron_47,Neuron_37,Neuron_27,Neuron_50,Neuron_35,Neuron_24,Neuron_19,Neuron_8,Neuron_40,Neuron_49,Neuron_7,Neuron_15,Neuron_46,Neuron_33,Neuron_16,Neuron_42,Neuron_29,Neuron_36,Neuron_31,Neuron_21,Neuron_3,Neuron_30,Neuron_32,Neuron_9
Close-Arm,0.9278978301566199,0.8612522677657574,0.8160953295780922,0.8112454446115587,0.8111880778924897,0.8057312230787479,0.7951382823938958,0.7877288287419563,0.7750649667351794,0.7531875098895043,0.7063242615480475,0.700001159454311,0.6934016811668139,0.6605720490545378,0.6495177352600238,0.634122566726347,0.58376156644241,0.5490613273760061,0.4993769216219822,0.48057475004888833,0.4634131500046109,0.45271082993561607,0.4259650396158755,0.40530961871239,0.3915539548540357,0.3461115019632908,0.33198518474832833,0.33129917515607943,0.25696432185664686,0.2563637987537451,0.2317409542195704,0.22663478330814868,0.21869753026167643,0.16904826749289642,0.15976209416283385,0.14807350443850525,0.13403850799850983,0.13128750835898848,0.1301590478233459,0.12014230034347365,0.10658407346699232,0.09952262386046716,0.09329552263032365,0.08591183635731667,0.07585318839297223,0.05062576714798501,0.03704157623131195,0.030704352037019676,0.006964456320335911,0.0025870781132284145
Middle-Zone,0.9229406915534383,0.009156279769343733,0.2988519835019394,0.31221180353761957,0.3087505290911387,0.582706732057408,0.13189183810134075,0.11266721960544028,0.4892621873587557,1.0567868316121705,0.2382675543351483,0.4750321894291716,0.18138940539334267,0.15356529525558096,0.37236019205483434,0.8313187933403562,0.09804812854898713,0.3358959302248579,0.6716554362416038,0.4222646301322385,0.06696566975437813,0.1727014296644687,0.253723234189003,0.19276108643382622,0.21679141647813296,0.412262398003647,0.11283364106888417,0.5956150464219285,0.34860513470410287,0.3001793668705385,0.5363580175513538,0.20246336636766585,0.0373931358967424,0.1268723073535646,0.08621576369818504,0.3894499473777582,0.7484904399843325,0.1664066766144129,0.07947908707584637,0.2132111165024748,0.32408810646322356,0.4065507506649126,0.050964325199897235,0.4105929800573642,0.40420103852621025,0.6084544157956966,0.21057606416382582,0.0593328247926604,0.0709533155428286,0.022722010336241234
Open-Arm,0.8207024148037059,1.5170923958084714,1.1823705835925087,1.0362829451862157,1.6131888025369456,0.8820547491879065,1.3669571608978357,1.1227038425807354,0.879342035637517,0.4396017985105955,1.048156574658253,0.8049098236623323,1.0466268606434506,1.0025978787320293,0.7883678980812918,0.38748603156856115,0.935173485498604,0.6550936023459131,0.2854864154947922,0.4661499020299647,0.9010462459910563,0.5876710814351703,0.5064177569617392,0.9568933189156591,0.48917953658031804,0.24476560500305622,0.4655012319111737,0.08634524873056697,0.15583983199985843,0.592827100896681,0.048045654132734414,0.21035416482200595,0.33578126728630525,0.3640147742921546,0.32345784643878767,0.06859396850653078,0.4959240768327175,0.08950970289466431,0.26379442758504384,0.03466166528318417,0.09028929039263017,0.16838667555034734,0.1895861650031356,0.4983729996173208,0.4388034426767667,0.6168201734961948,0.21220896025679473,0.006777654020354122,0.07275257240355441,0.018292219634367477
