stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,behavior
21,-1.791656357234263,0.163964057109854,1.427729038214408,-1.332411542324774,1.451075751360736,0.3291424476885046,-0.7857429003296671,0.265457297970107,3.705335684309992,0.1149990678510165,0.5383203882697607,-0.652604290852326,2.731787992528094,-1.455213811120086,-1.668494780614915,-0.4568566988858204,-0.4190562646140867,3.599990693922734,-1.155063469148362,-1.015291757106919,1.461675166789575,0.1333083259539724,-0.6697958368096343,-0.286595510528026,-0.4280565302203964,-0.2496293193180468,-0.9341028779728269,-0.7460433146750594,0.2162779419923435,0.3546327551258274,-0.1976162173539509,-0.3356522381900102,-1.429196996422972,-1.21650748696731,-1.552506505055044,-0.6132837436329566,-1.296095368240995,-0.6669299310526319,-0.8862093777428787,0.2385657796311451,-0.4696942695380286,-1.503324354233723,-0.3340422443817831,Open-Armed-Exp
22,-1.819425427439612,0.2302489358983807,1.638645058729916,-1.36817210892637,1.368425352113066,0.3150859703622567,-0.7952693831745623,0.3757150157595648,3.660241412864536,0.1526640090718118,0.570282417340766,-0.6649642552256165,2.740713250005824,-1.357662692419201,-1.586806530221093,-0.4633380123835652,-0.2906147607382533,3.517542360918776,-1.143645999393595,-1.041787363112159,1.502019185935906,0.1611448578408584,-0.6703797185716592,-0.2915895899423281,-0.4479794481602684,-0.2703686734762942,-0.935903841151006,-0.7076286857498733,0.07585669598382427,0.4031754398308609,-0.2022798177648636,-0.5509573900045326,-1.488857234755132,-1.296101159854581,-1.776457798997956,-0.6318026743841728,-1.248055584136823,-0.6947392829815867,-0.8702137663514017,0.3314258581838866,-0.3451209776619958,-1.445155430465863,-0.3273858883003574,Open-Armed-Exp
23,-1.843149240440447,0.3750896838328024,1.878106020249256,-1.408261677185582,1.280823275395667,0.3040652587943776,-0.8137121656673216,0.3991844517880281,3.611941211536477,0.168558735418477,0.5526938800820749,-0.6647160866161157,2.700128362419514,-1.253283286458226,-1.511174717029915,-0.4804542390061179,-0.2556915600997341,3.430733109305041,-1.119229435411065,-1.044141375457056,1.528157456536301,0.2056854997572749,-0.6686803552817193,-0.311912969283296,-0.4601875027526182,-0.3107234402994926,-0.9224802175956962,-0.647497937367787,-0.08173908094536661,0.328729921219661,-0.1278955447641419,-0.7320503718109989,-1.49902248334295,-1.357657372334711,-1.872053000573561,-0.6532580059152107,-1.21748413997173,-0.7228441428330735,-0.8705649008908005,0.3291213757246199,-0.2994618748927039,-1.41530995330348,-0.2856156379591359,Open-Armed-Exp
24,-1.860219547525678,0.5327370110919651,2.120039090577136,-1.440902339204575,1.188038223510051,0.3036000215526578,-0.8443146705595649,0.3537033398303442,3.567496549520039,0.1594051382153119,0.5083224410381191,-0.6591913815482183,2.641591127551715,-1.165494392221921,-1.461862161700471,-0.5033125857442039,-0.3105928832019538,3.351775060430337,-1.082971526756041,-1.039508253209726,1.53049584713828,0.2783830034519034,-0.6608022388559095,-0.3203978233204352,-0.4598899891279124,-0.3571707206720706,-0.9047005572450159,-0.5757344054593285,-0.2197779692585918,0.1782726538294408,0.01641477433922424,-0.8705995304321785,-1.499656165540879,-1.409324291489519,-1.829339864312029,-0.668818792952301,-1.198078600055438,-0.7505161296665824,-0.8585580758525447,0.2254263328967274,-0.3432483544114501,-1.430963241904455,-0.2025895770435351,Open-Armed-Exp
25,-1.864734867818436,0.6499388411689422,2.331307904989369,-1.460770907380793,1.089891803761092,0.3165821193877511,-0.8827405484162393,0.2757500995528637,3.534174502509849,0.1280760927639893,0.4613749097234769,-0.6682171545160259,2.592166724321349,-1.102516750541557,-1.445502912061971,-0.5244694571747665,-0.4317732980478385,3.28418706776706,-1.048168457548404,-1.039023563507126,1.525298685066059,0.3949275220694646,-0.6512417108604882,-0.2844111181648005,-0.4468175899966752,-0.3976878694536596,-0.8990092251764908,-0.5132119633646073,-0.2949706274030973,-0.001017333876958593,0.2072087327358048,-0.9560855387831199,-1.520366855401867,-1.450754148807843,-1.69996127708595,-0.6753698176773213,-1.181311876330054,-0.7726539116535079,-0.8229894470032036,0.04798280393215418,-0.4978081609144405,-1.528790332863261,-0.088648288829285,Open-Armed-Exp
26,-1.838500329158322,0.7004754615741505,2.48521206132774,-1.469478577885019,0.9881247236776035,0.3335516293002081,-0.9173982539756744,0.1950325276330784,3.517157485966182,0.07699510451866019,0.4320826931062717,-0.7129107333260961,2.557344404814328,-1.057328393473457,-1.454714108487997,-0.5401095966687969,-0.5934854636201586,3.219905674108678,-1.03075262499291,-1.047595964843105,1.544458215012685,0.5810546573318952,-0.648429824493116,-0.1866736431443932,-0.4292444414905154,-0.4282925112676482,-0.9168678391677332,-0.4790149057952376,-0.2850974843071906,-0.1776832808650501,0.4085858749195934,-0.9915278390202394,-1.568479016274585,-1.475898063635063,-1.538515505256767,-0.6744002646111388,-1.163727680317383,-0.769298954399525,-0.7727970904145082,-0.150105022845479,-0.7646253475974948,-1.718640903763815,0.03151530856464577,Open-Armed-Exp
27,-1.755171159329068,0.6890616379316157,2.565311509483182,-1.472763496596647,0.8868172527666945,0.339377662803486,-0.9363504514636019,0.1219058113623659,3.517130865533696,0.00250433483000083,0.4269586469049406,-0.8012480630104489,2.510497812735964,-1.02632214922274,-1.478693893472717,-0.5510954291974558,-0.7731233275062759,3.143940193526368,-1.034726775118611,-1.061253884028103,1.61612304980986,0.8599165585615507,-0.6601691338370603,-0.03763076915847077,-0.4198703015781376,-0.4540377467196945,-0.9515043387087115,-0.4786606693512999,-0.2103534373738794,-0.3357495875927548,0.5823734418248246,-0.9893790440647171,-1.628169747009889,-1.482025123733472,-1.367411786474786,-0.662562110748152,-1.148779565884919,-0.7083827574806048,-0.7242689331066549,-0.3202269599745536,-1.105053574738574,-1.958675253698741,0.1171077650370936,Open-Armed-Exp
28,-1.601544710226492,0.6477824175255467,2.568274418900395,-1.475909327544792,0.7906792165692215,0.325867986540359,-0.9348797680878513,0.05032522484540952,3.528334087063314,-0.0996750564670554,0.4308376150293592,-0.9208824150130127,2.410513317074406,-1.018872570724796,-1.513772318290198,-0.5566047522706989,-0.9454437316947643,3.043501546269027,-1.050118434007431,-1.065932424760014,1.742320187745996,1.22245902314388,-0.6900492525224253,0.1341187930948574,-0.4257068443410063,-0.4864878379322737,-0.9784547600485539,-0.5078363153942848,-0.1161484397450274,-0.4626278590823423,0.7021214732752666,-0.9482607452176255,-1.666845496256704,-1.474365529792377,-1.19095231614031,-0.6271408067639579,-1.14326272866263,-0.5654886649451147,-0.6863767000212464,-0.446094646677945,-1.45671122331434,-2.176785210269997,0.1265561822586696,Middle-Zone
29,-1.399107787974521,0.6220217012273125,2.505233699011539,-1.480366388076935,0.7045307742992528,0.2970890959695623,-0.9178701278932964,-0.02841564003473925,3.537944931553584,-0.2233334147230128,0.4180959761324285,-1.04511020672907,2.23788330527474,-1.044980168010467,-1.563934693705063,-0.5505737333035116,-1.083544455766665,2.914190466296803,-1.064870618985866,-1.049352128368705,1.891280770279724,1.615619744101488,-0.7355370757847538,0.303271837119414,-0.4424450044624981,-0.538399750270373,-0.9712764781804084,-0.5614429215667693,-0.03485325591453681,-0.5395610122281272,0.7629105759752848,-0.8444912194496504,-1.652246530605048,-1.459972536878822,-1.017307348597132,-0.5540044483529922,-1.15157670459972,-0.3435801864973974,-0.6590042090022373,-0.5401549830393598,-1.764338420439917,-2.312253474020455,0.04683277367735864,Middle-Zone
30,-1.196716510693768,0.6475558538587078,2.393831237707252,-1.485977465151545,0.6354410175418197,0.2652138277683375,-0.8966271409958505,-0.1110314144114468,3.529223374108945,-0.346717829126194,0.378644887251615,-1.146387501163378,2.012653798024787,-1.098408224523266,-1.632882238378573,-0.528459203728217,-1.16999371496943,2.761050192241801,-1.074827903840945,-1.01634925169907,2.020922644892158,1.969650041072998,-0.7898621621061703,0.4549095358939777,-0.4602129989421533,-0.6150088235980554,-0.9185416444326329,-0.6302763204219689,0.02819396548620536,-0.5447132065792648,0.7796922634688553,-0.6576727425824028,-1.576910579936522,-1.438406231530631,-0.8583921081916346,-0.4431200308453188,-1.173624079064128,-0.07521819350218777,-0.6454266734893898,-0.616446520072954,-1.990946661178361,-2.341582438961414,-0.09479509274700648,Middle-Zone
31,-1.036280636958812,0.7325724930628771,2.245493898062776,-1.497228173499255,0.5954158995619466,0.2418571853343228,-0.8829889415303107,-0.1779411168758283,3.48956932589745,-0.4374324880068794,0.3304756706799273,-1.207817588661307,1.778695586292808,-1.15767153108093,-1.718044794728835,-0.4960661553076477,-1.200174098120284,2.597368068032896,-1.079705113702382,-0.9868537210334305,2.115648873206558,2.237808971324394,-0.8460203071889214,0.5712411096945696,-0.474512449075647,-0.7063722241192527,-0.8313703604200333,-0.6906047906689121,0.07209011849614679,-0.4628341525645057,0.7746001518148469,-0.4079633265297328,-1.472156234294807,-1.403048100993989,-0.7237730697701474,-0.3167375266401927,-1.208488672726373,0.1940449790708672,-0.6625694464648446,-0.6735682528782314,-2.112901535901158,-2.275977706597025,-0.2510595702069611,Middle-Zone
32,-0.927676387816536,0.8596695656661306,2.060477366932761,-1.52325183869598,0.6001589736972404,0.2299307732908468,-0.8837560021141538,-0.2048179620037872,3.417860115227303,-0.4646744601814577,0.3025803208232647,-1.227849348696025,1.5730723142918,-1.206555747579874,-1.810745873298454,-0.4677201448516836,-1.175096289491732,2.441525008387659,-1.073986531933385,-0.9774892152778601,2.197690879048638,2.413297844307367,-0.8991147322677295,0.6232233359868927,-0.4899077199813669,-0.7886585068924947,-0.7381175332493907,-0.7080741353510593,0.0754702972281615,-0.2950194218444767,0.765004880410188,-0.1613753057462465,-1.391605645515472,-1.348461519683015,-0.6231212275733642,-0.2103981985693917,-1.257930970950366,0.4293164004481217,-0.7342038597304722,-0.7010189003231176,-2.123848209071523,-2.143489695242275,-0.3866429935661721,Middle-Zone
33,-0.8548091368322587,1.004208329851755,1.832373741093932,-1.567341752360751,0.6598598866971124,0.222977931047585,-0.8981332926843446,-0.182717224961781,3.324644947410638,-0.4136888055759695,0.3067115671695548,-1.216755981659648,1.407593949277767,-1.251111379244932,-1.897769218300565,-0.4553060752250697,-1.1033231098386,2.310544382198185,-1.048694142778795,-0.9887634795491034,2.300924665115194,2.520274119261958,-0.945942811958873,0.5852881822543673,-0.5129722155365977,-0.8360264649189547,-0.6683174959431455,-0.6599351411432669,0.00416860004716304,-0.07075293120840744,0.7588587085320302,0.01272890055726741,-1.371668620095688,-1.270838280529725,-0.5689418212207973,-0.1553602251496657,-1.32313678287403,0.6204957522462009,-0.871427686954257,-0.6940987579987585,-2.046560978230126,-1.977312538907951,-0.4921835489459603,Middle-Zone
