number,relative_x,relative_y
1.000000000000000000e+00,4.717504834308327011e-01,1.629520047214841338e-01
2.000000000000000000e+00,5.500601794397668165e-01,1.998615591459096674e-01
3.000000000000000000e+00,4.344253012209668974e-01,3.208905631887934984e-01
4.000000000000000000e+00,5.705524363393010834e-01,3.174571162655910328e-01
5.000000000000000000e+00,3.392826799017010786e-01,3.346243508816029721e-01
6.000000000000000000e+00,6.166600143632529063e-01,3.474997768436118295e-01
7.000000000000000000e+00,4.966339382374098665e-01,3.646670114596237688e-01
8.000000000000000000e+00,4.322297022674453926e-01,3.990014806916475365e-01
9.000000000000000000e+00,7.366860904890960571e-01,3.861260547296385681e-01
1.000000000000000000e+01,6.225149449059770301e-01,4.135936301152575711e-01
1.100000000000000000e+01,4.410120980815314118e-01,4.556533549244866643e-01
1.200000000000000000e+01,4.849240771519617299e-01,4.702455043480968655e-01
1.300000000000000000e+01,2.909795029242276398e-01,4.659536956940938390e-01
1.700000000000000000e+01,3.612386694369162377e-01,5.311891872349389088e-01
1.800000000000000000e+01,7.681563421562376259e-01,5.174553995421294905e-01
1.900000000000000000e+01,4.593087560275440073e-01,5.535065922357544910e-01
2.000000000000000000e+01,5.625019068430554547e-01,6.067250195453912642e-01
2.100000000000000000e+01,5.083437993228580032e-01,5.998581256989864441e-01
2.200000000000000000e+01,7.183894325430832950e-01,6.341925949310102117e-01
2.300000000000000000e+01,2.865883050171845747e-01,6.015748491605876769e-01
2.400000000000000000e+01,3.663617336617997489e-01,6.505014678162215347e-01
2.500000000000000000e+01,6.056820195956452713e-01,6.848359370482453023e-01
2.600000000000000000e+01,3.809990600186099474e-01,7.758222805131081978e-01
2.700000000000000000e+01,6.203193459524554143e-01,4.547949931936861034e-01
2.800000000000000000e+01,5.420096499435211879e-01,4.178854387692605976e-01
2.900000000000000000e+01,4.622362212989061248e-01,6.487847443546203019e-01
3.000000000000000000e+01,4.966339382374098665e-01,7.002864482026559534e-01
3.100000000000000000e+01,6.254424101773389255e-01,5.174553995421294905e-01
3.200000000000000000e+01,6.093413511848477793e-01,5.517898687741532582e-01
3.300000000000000000e+01,5.632337731608959563e-01,5.620902095437603219e-01
3.400000000000000000e+01,5.163943288191035208e-01,5.406311662737455226e-01
3.500000000000000000e+01,5.398140509899996831e-01,4.959963562721146357e-01
3.600000000000000000e+01,2.719509786603744317e-01,6.745355962786381276e-01
3.700000000000000000e+01,6.569126618444807164e-01,5.517898687741532582e-01
3.800000000000000000e+01,6.166600143632529063e-01,2.599468803019513441e-01
3.900000000000000000e+01,4.432076970350529166e-01,7.457796199350874566e-01
4.000000000000000000e+01,6.554489292087997132e-01,7.251789383958732182e-01
4.100000000000000000e+01,5.024888687801338794e-01,8.067233028219294999e-01
4.200000000000000000e+01,5.771392331998655978e-01,7.981396855139236690e-01
4.300000000000000000e+01,6.978971756435491391e-01,5.904161466601799413e-01
4.400000000000000000e+01,2.492631228073187710e-01,3.123069458807875010e-01
4.500000000000000000e+01,4.322297022674453926e-01,2.659554124175554368e-01
4.600000000000000000e+01,8.252419149477971949e-01,5.517898687741532582e-01
4.700000000000000000e+01,3.978319853289415398e-01,4.771123981945015746e-01
4.800000000000000000e+01,3.004937650561542162e-01,3.784007991524332981e-01
4.900000000000000000e+01,2.104742079617719086e-01,4.032932893456505075e-01
5.000000000000000000e+01,4.161286432749541353e-01,6.479263826238197410e-01
5.100000000000000000e+01,3.004937650561542162e-01,7.234622149342719855e-01
5.200000000000000000e+01,7.462003526210225779e-01,7.234622149342719855e-01
5.300000000000000000e+01,7.966991285520175214e-01,6.874110222406470960e-01
5.400000000000000000e+01,2.141335395509744444e-01,6.127335516609953014e-01
5.500000000000000000e+01,2.353576627683491573e-01,4.642369722324926617e-01
5.600000000000000000e+01,3.539200062585111661e-01,8.401994103231528177e-01
5.700000000000000000e+01,5.127349972299010128e-01,7.320458322422779274e-01
5.800000000000000000e+01,6.664269239764073482e-01,3.723922670368290944e-01
5.900000000000000000e+01,6.905785124651441231e-01,4.762540364637009027e-01
6.000000000000000000e+01,4.644318202524276296e-01,8.170236435915367856e-01
6.100000000000000000e+01,4.183242422284757511e-01,6.024332108913882378e-01
