number,relative_x,relative_y
1.000000000000000000e+00,6.349566723092656684e-01,2.453547308783411707e-01
2.000000000000000000e+00,7.352223578534149429e-01,2.350543901087341070e-01
3.000000000000000000e+00,7.205850314966046888e-01,3.105902224191862682e-01
4.000000000000000000e+00,4.790691466092377171e-01,3.131653076115881729e-01
5.000000000000000000e+00,5.917765595566757408e-01,3.904178633836415391e-01
6.000000000000000000e+00,4.951702056017289189e-01,3.826926078064362691e-01
7.000000000000000000e+00,7.835255348308882706e-01,3.887011399220403618e-01
8.000000000000000000e+00,5.888490942853136234e-01,4.556533549244866643e-01
9.000000000000000000e+00,7.366860904890960571e-01,4.093018214612546002e-01
1.000000000000000000e+01,4.812647455627592774e-01,4.444946524240790398e-01
1.100000000000000000e+01,3.158629577308048608e-01,4.462113758856801615e-01
1.200000000000000000e+01,4.007594506003036017e-01,5.097301439649241095e-01
1.400000000000000000e+01,4.907790076946857982e-01,5.509315070433526973e-01
1.500000000000000000e+01,7.059477051397947678e-01,5.543649539665549408e-01
1.600000000000000000e+01,3.224497545913693752e-01,6.118751899301947406e-01
1.700000000000000000e+01,6.034864206421238775e-01,6.196004455074002326e-01
1.800000000000000000e+01,7.791343369238452610e-01,6.479263826238197410e-01
1.900000000000000000e+01,5.324953878115947781e-01,6.565099999318257940e-01
2.000000000000000000e+01,4.022231832359845494e-01,6.702437876246352122e-01
2.100000000000000000e+01,4.644318202524276296e-01,7.354792791654803930e-01
2.200000000000000000e+01,4.095418464143896209e-01,7.689553866667034887e-01
2.300000000000000000e+01,5.442052488970428037e-01,7.749639187823076369e-01
2.400000000000000000e+01,3.751441294758858791e-01,2.444963691475406375e-01
2.500000000000000000e+01,6.547170628909593226e-01,4.341943116544718650e-01
2.600000000000000000e+01,6.598401271158427228e-01,3.947096720376445655e-01
2.700000000000000000e+01,6.488621323482350878e-01,3.380577978048052712e-01
2.800000000000000000e+01,5.639656394787364579e-01,4.977130797337158685e-01
2.900000000000000000e+01,7.052158388219542662e-01,6.256089776230042698e-01
3.000000000000000000e+01,6.634994587050453418e-01,6.633768937782303921e-01
3.100000000000000000e+01,6.993609082792301423e-01,7.123035124338643609e-01
3.200000000000000000e+01,6.466665333947136940e-01,5.054383353109211940e-01
3.300000000000000000e+01,4.307659696317643339e-01,4.496448228088825716e-01
3.400000000000000000e+01,3.766078621115668268e-01,3.371994360740047658e-01
3.500000000000000000e+01,4.541856918026605516e-01,6.075833812761918251e-01
3.600000000000000000e+01,5.229811256796681462e-01,4.788291216561026964e-01
3.700000000000000000e+01,5.017570024622934888e-01,6.908444691638494506e-01
3.800000000000000000e+01,6.034864206421238775e-01,8.015731324371260236e-01
3.900000000000000000e+01,6.503258649839163130e-01,6.230338924306024762e-01
4.000000000000000000e+01,8.376836423510858332e-01,6.779690432018404822e-01
4.100000000000000000e+01,2.587773849392453474e-01,5.732489120441680575e-01
4.200000000000000000e+01,8.611033645219819954e-01,5.560816774281561736e-01
4.300000000000000000e+01,7.966991285520175214e-01,5.457813366585489989e-01
4.400000000000000000e+01,8.450023055294908492e-01,4.882711006949091992e-01
4.500000000000000000e+01,3.429420114909035311e-01,3.054400520343827363e-01
4.600000000000000000e+01,2.982981661026327114e-01,5.260390168501354324e-01
4.700000000000000000e+01,3.517244073049896613e-01,7.191704062802689590e-01
4.800000000000000000e+01,3.209860219556883720e-01,7.741055570515069650e-01
4.900000000000000000e+01,7.066795714576351584e-01,7.766806422439088697e-01
5.000000000000000000e+01,5.786029658355466010e-01,2.153120703003204017e-01
5.100000000000000000e+01,6.291017417665414335e-01,1.320509824126628040e-01
5.200000000000000000e+01,6.042182869599642681e-01,7.329041939730784883e-01
5.300000000000000000e+01,4.490626275777769849e-01,9.406277328268222160e-01
