Behavior,Neuron_3,Neuron_25,Neuron_42,Neuron_32,Neuron_39,Neuron_41,Neuron_9,Neuron_31,Neuron_19,Neuron_11,Neuron_20,Neuron_34,Neuron_7,Neuron_13,Neuron_18,Neuron_1,Neuron_26,Neuron_16,Neuron_17,Neuron_5,Neuron_2,Neuron_10,Neuron_12,Neuron_36,Neuron_14,Neuron_33,Neuron_35,Neuron_28,Neuron_23,Neuron_40,Neuron_27,Neuron_6,Neuron_4,Neuron_24,Neuron_43,Neuron_37,Neuron_30,Neuron_29,Neuron_38,Neuron_8,Neuron_15,Neuron_22,Neuron_21
Close-Arm,0.758557937108231,0.6720367348396317,0.6494321208505837,0.5724097605190993,0.5575355633362508,0.49138577462626176,0.46495758255985253,0.4544997968460431,0.44464426590169176,0.43487171094008764,0.40832738214265546,0.4071089788765183,0.3895054982861908,0.3685262925005171,0.3557133952168657,0.34997083119669725,0.3494054370223434,0.3232862048041075,0.3202742633469904,0.3184445265754924,0.30729064274122553,0.300070424103099,0.2796847924664112,0.2640809983372798,0.2572234776239322,0.2565768473382203,0.24198602847945683,0.22691315928912564,0.22450216049101196,0.20997100528969895,0.18209991361267383,0.17184710064546443,0.12669533785356132,0.07709502669579277,0.06972428329083036,0.06077470435941399,0.057740914493420004,0.04138112533370128,0.030531706992371024,0.022185666585002237,0.015447357162269915,0.0020497861720446884,0.0013513212151392946
Middle-Zone,0.8810419960894504,0.6185626854454782,0.8461249329775838,0.40603222723167853,0.10410784592237876,0.43759215462845624,0.40645890896187153,0.4238540819920394,0.5721988017022529,0.26739039303241724,0.5485763912643815,0.28280281018869086,0.45456215907085656,0.5910569446726252,0.6049221754613747,0.41568216488244,0.18396951438615533,0.10435748142236774,0.539836635189018,0.34498804529693383,0.2236505023038027,0.20636413120526895,0.1976311024147914,0.11625066533331936,0.36835468243135416,0.37938171262156606,0.36843271792333016,0.20388001022073926,0.12853152937574364,0.440692920692789,0.09811891314870023,0.37950481302752814,0.3941218365118574,0.15394677255404748,0.4589449000346,0.20488161794478077,0.369190077559868,0.23661157968121782,0.33328815887572827,0.09605007950790909,0.18258865686392428,0.2802159893623729,0.16253856349403137
Open-Arm,0.005131690021005813,0.27430411019535705,0.21622016142000955,0.48505974736839663,0.8911069952990891,0.1391105068967603,0.19813854434059588,0.14709373085072375,0.3645501294877545,0.42387477695015946,0.2611996382202606,0.30544891675570085,0.021441828710375664,0.3723839129910263,0.6053273983295515,0.03616208229116624,0.3721044829051708,0.5076242221996276,0.4606866485109019,1.3427023637796562,0.2631856525692737,0.7062265471156847,0.18262191211740256,0.3140969617372082,0.17215830317442965,0.24323484610874002,0.15816297135553106,0.08563982891423427,0.20132878837770685,0.5025303257606805,0.5667411140981464,0.3506976325270987,0.4141290162541595,0.15929465677344223,0.5234442149865232,0.23625909502353107,0.7259663051484502,0.37987151477878084,0.42771365855984195,0.1947149846276125,0.3163269733224369,0.606993420979607,0.36874445689264196
